date,name,address,icon,userComment,rating,tags,photos
"2021-06-09T13:28:14.039Z","Breaking Bread Coffee","Boulevard Gran Boulevard Lomas 1, Lomas de Angelópolis, 72830 San Andrés Cholula, PUE, Mexico","generic","","","Coffee#Mexico",""
"2021-06-07T00:23:27.387Z","Los Aguachiles Playacar","Avenida 10 Sur Playa del Carmen Centro 77710 Playa del Carmen, Quintana Roo Mexico","restaurant","","","Cocktails#Mexico#Restaurant#Tasty!#Tapas",""
"2021-06-06T22:36:22.680Z","Playa Palancar","77664 Cozumel Mexico","beach","","","Mexico#With a view#Terrace",""
"2021-06-05T23:05:40.063Z","Kool Beach Club","Calle 28 Norte Gonzalo Guerrero 77720 Playa del Carmen, Quintana Roo Mexico","bar","","","Cocktails#Coffee#Tasty!#Terrace#Mexico",""
"2021-06-03T01:00:07.792Z","Piacevole Puebla","Osa Mayor 2716, Reserva Territorial Atlixcáyotl, Centros Comerciales Desarrollo Atlixcayotl, 72193 Puebla, Pue., México","restaurant","","","Restaurant#Tasty!",""
"2021-06-03T00:59:07.381Z","Sonora Grill Prime Puebla","Avenida Juárez 2706, La Paz, 72160 Puebla, Pue., Mexique","restaurant","","","To try#Restaurant#Tasty!",""
"2021-06-02T01:58:16.168Z","Nouveau Trattoria","541 Bryant St Palo Alto, CA 94301 USA","restaurant","","","To try#Restaurant",""
"2021-06-02T01:55:26.321Z","Mezcalito","2323 Polk St San Francisco, CA 94109 USA","restaurant","","","To try#Wine#Bar",""
"2021-06-02T01:54:45.615Z","Union Larder","1945 Hyde St San Francisco, CA 94109 USA","restaurant","","","To try",""
"2021-06-02T01:54:11.771Z","Tacko","3115 Fillmore St San Francisco, CA 94123 USA","restaurant","","","To try#Tasty!#Restaurant",""
"2021-06-02T01:53:25.511Z","Zazie","941 Cole St, San Francisco, CA 94117, United States","restaurant","","","To try#Tasty!#Restaurant",""
"2021-06-02T01:47:58.532Z","BJ's Restaurant & Brewhouse","5699 Mowry Ave Newark, CA 94560 USA","generic","","","Already tried#Beers#Burger#Bar#Restaurant#Tapas",""
"2021-05-22T01:23:24.097Z","Bilderberg Taproom","Prol. 4 Ote. 1206, Santiago Xicotenco, 72810 San Andrés Cholula, Pue., México","restaurant","","","Afterwork#Bar#Mexico",""
"2021-05-15T01:15:51.195Z","La Estancia Argentina","Atlixcáyotl 5312, Reserva Territorial Atlixcáyotl, Corredor Comercial Desarrollo Atlixcayotl, 72197 Puebla, Pue., Mexico","restaurant","","","Already tried#Mexico#Meat#Restaurant",""
"2021-05-08T15:18:56.497Z","Cerveceria Crazy Moon","Avenida Miguel Hidalgo 106 San Pedro Cholula Centro 72760 San Pedro Cholula, Puebla Mexico","restaurant","","","Already tried#Mexico#Restaurant#Tasty!#Tapas",""
"2021-05-08T15:16:52.674Z","La Casa De FRIDA","Av. Miguel Hidalgo 109, Centro, 72760 Cholula de Rivadabia, Pue., Mexico","restaurant","","","Mexico#Tasty!#Restaurant",""
"2021-05-08T15:15:55.228Z","Palmira Jardin Bar & Grill","Libramiento Ricardo Flores Magón 74240 Atlixco Mexico","restaurant","","","Already tried#Mexico#Restaurant#Tasty!#With a view#Coffee#Cocktails",""
"2021-04-10T23:03:03.415Z","Black Bear Diner Sunnyvale","415 E El Camino Real, Sunnyvale CA 94087","restaurant","","","Already tried#Bar#Brunch#California#Restaurant",""
